JTL SS
Bossk - P25 - 1 - 626535
Bossk Judge - P25 - 2 - 626536
Devastator Top 8 - P25 - 3 - 626531
Devastator Top 4 - P25 - 4 - 626532
Devastator Finalist - P25 - 5 - 626533
Devastator Champion - P25 - 6 - 626534

JTL PQ
Black One - P25 - 7 - 626530
Black One Judge - P25 - 8 - 626529
Home One Top 8 - P25 - 9 - 626525
Home One Top 4 - P25 - 10 - 626526
Home One Finalist - P25 - 11 - 626527
Home One Champion - P25 - 12 - 626528

LOF SS
Jedi Holocron - P25 - 13 - 644364
Jedi Holocron Judge - P25 - 14 - 644374
Grand Inquisitor Top 8 - P25 - 15 - 644365 
Grand Inquisitor Top 4 - P25 - 16 - 644366
Grand Inquisitor Finalist - P25 - 17 - 644367
Grand Inquisitor Champion - P25 - 18 - 644368

LOF PQ
Darth Revan’s Lightsabers  - LOFP - 19 -644369
Darth Revan’s Lightsabers Judge - LOFP - 20 - 644375
Darth Malak Top 8 - P25 - 21 - 644370
Darth Malak Top 4 - P25 - 22 - 644371
Darth Malak Finalist - P25 - 23- 644372
Darth Malak Champion - P25 - 24 - 644373

SEC SS
First Light - P25 - 25 - 661869
First Light Judge - P25 - 26 - 661884
Queen Amidala Top 8 - P25 - 27 - 661870
Queen Amidala Top 4 - P25 - 28 - 661871
Queen Amidala Finalist - P25 - 29 - 661872
Queen Amidala Champion - P25 - 30 - 661873

SEC PQ
Galen Erso - P25 - 31 - 661874
Galen Erso Judge - P25 - 32 - 661883
Grand Admiral Thrawn Top 8 - P25 - 33 - 661875
Grand Admiral Thrawn Top 4 - P25 - 34 - 661876
Grand Admiral Thrawn Finalist - P25 - 35 - 661877
Grand Admiral Thrawn Champion - P25 - 36 - 661878
